GEOID,County,Population,Pct_Rural,PrimCare_Rate,Pct_Uninsured,Premature_Deaths,Median_Income
31065,Furnas,4612,89.4,65.2,14.0,381.4,50560
31067,Gage,21595,46.8,71.6,11.4,332.8,52340
31069,Garden,1837,100.0,54.4,15.9,422.7,50120
31071,Garfield,1975,100.0,50.6,15.4,408.3,48930
31073,Gosper,1990,100.0,50.3,14.9,395.6,53470
31075,Grant,614,100.0,0.0,16.7,458.2,46340
31077,Greeley,2343,100.0,42.6,15.1,401.7,52560
31079,Hall,61548,14.3,104.2,11.2,298.6,53450
31081,Hamilton,9267,60.7,64.8,11.0,318.4,62780
31083,Harlan,3307,100.0,60.5,14.3,383.1,52340
31085,Hayes,967,100.0,0.0,17.3,462.8,45670
31087,Hitchcock,2708,100.0,36.9,15.8,415.6,49230
31089,Holt,10067,76.3,59.6,13.6,368.9,54120
31091,Hooker,783,100.0,0.0,17.8,471.3,44560
31093,Howard,6274,75.4,47.8,13.7,372.4,53890
31095,Jefferson,7141,69.2,70.3,12.2,345.8,53670
31097,Johnson,5021,72.8,59.9,12.6,358.2,51240
31099,Kearney,6495,72.1,61.5,12.0,341.6,57830
31101,Keith,8034,47.6,74.8,13.2,362.4,54210
31103,Keya Paha,812,100.0,0.0,18.2,478.9,43120
31105,Kimball,3544,56.3,56.4,14.5,389.7,50670
31107,Knox,8338,79.5,60.2,13.5,371.8,52780
31109,Lancaster,322837,6.8,115.4,7.8,248.6,67340
31111,Lincoln,36479,34.8,90.6,10.7,310.5,55670
31113,Logan,763,100.0,0.0,17.5,469.4,44230
31115,Loup,620,100.0,0.0,18.0,475.6,43780
31117,McPherson,497,100.0,0.0,18.5,482.3,43450
31119,Madison,35889,27.4,92.3,10.5,296.8,57890
31121,Merrick,7755,68.4,64.7,12.1,347.2,57230
31123,Morrill,4642,64.3,64.8,14.2,376.5,51340
31125,Nance,3376,89.7,59.4,13.8,362.8,54120
31127,Nemaha,6972,58.9,71.8,11.5,329.4,54870
31129,Nuckolls,4258,86.3,70.4,13.4,364.7,52560
31131,Otoe,15859,47.2,63.2,11.1,315.6,60230
31133,Pawnee,2613,93.1,76.3,13.9,368.2,51230
31135,Perkins,2892,100.0,34.6,14.7,386.4,53780
31137,Phelps,9110,58.8,65.8,11.7,334.5,58340
31139,Pierce,7057,78.4,56.7,12.8,355.6,56780
31141,Platte,33470,27.6,96.2,10.1,290.4,61230
31143,Polk,5213,86.5,57.9,12.3,348.1,58120
31145,Red Willow,10776,45.3,83.4,11.6,323.7,54560
31147,Richardson,7851,67.8,64.3,12.5,351.8,52340
31149,Rock,1357,100.0,0.0,16.9,451.6,47230
31151,Saline,14200,44.7,70.5,12.0,331.2,56780
31153,Sarpy,182049,7.6,108.3,7.6,242.8,82450
31155,Saunders,21578,49.5,53.4,10.8,305.4,67890
31157,Scotts Bluff,36255,22.8,86.4,13.0,329.8,50450
31159,Seward,17254,46.8,69.2,10.3,294.6,65340
31161,Sheridan,5195,82.6,57.8,14.8,389.2,49870
31163,Sherman,3008,88.4,66.3,13.6,360.4,52120
31165,Sioux,1311,100.0,0.0,17.0,455.3,46780
31167,Stanton,5876,75.6,51.0,12.7,354.8,57340
31169,Thayer,5003,88.7,59.8,13.1,358.6,55670
31171,Thomas,713,100.0,0.0,18.3,480.1,43890
31173,Thurston,7140,62.3,56.2,16.8,412.7,42560
31175,Valley,4148,77.2,72.1,14.0,371.2,53450
31177,Washington,20234,43.8,53.8,10.1,287.4,72340
31179,Wayne,9385,51.4,63.5,11.2,322.6,55890
31181,Webster,3461,90.2,57.8,14.1,376.3,52120
31183,Wheeler,785,100.0,0.0,18.1,477.2,43670
31185,York,13685,38.7,81.4,10.6,308.7,60340
